Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
26-05-2022,220.4733276,239.5566711,217.886673,235.9100037,235.9100037,106003200,TSLA
27-05-2022,241.0833282,253.2666626,240.1766663,253.2100067,253.2100067,89295000,TSLA
31-05-2022,257.9466553,259.6000061,244.7433319,252.7533264,252.7533264,101914500,TSLA
01-06-2022,251.7200012,257.3266602,243.6399994,246.7899933,246.7899933,77247900,TSLA
02-06-2022,244.156662,264.2099915,242.0666656,258.3333435,258.3333435,93473100,TSLA
03-06-2022,243.2266693,247.7966614,233.4166718,234.5166626,234.5166626,112393800,TSLA
06-06-2022,244.3533325,244.8666687,234.3500061,238.2799988,238.2799988,84204600,TSLA
07-06-2022,234,239.9966736,230.093338,238.886673,238.886673,72808500,TSLA
08-06-2022,240.0866699,249.9633331,239.1766663,241.8666687,241.8666687,76210500,TSLA
09-06-2022,249.3399963,255.5466614,239.3266602,239.706665,239.706665,96491400,TSLA
10-06-2022,235.156662,239.5,227.9133301,232.2299957,232.2299957,97536600,TSLA
13-06-2022,223.1666718,226.6333313,214.6833344,215.7366638,215.7366638,102767400,TSLA
14-06-2022,218.2866669,226.3300018,211.7366638,220.8899994,220.8899994,97988700,TSLA
15-06-2022,220.9166718,235.6633301,218.1499939,233,233,119131800,TSLA
16-06-2022,222.7366638,225.1666718,208.6933289,213.1000061,213.1000061,107390700,TSLA
17-06-2022,213.4333344,220.9700012,213.1966705,216.7599945,216.7599945,92641800,TSLA
21-06-2022,224.6033325,243.5766602,224.3333282,237.0366669,237.0366669,122793000,TSLA
22-06-2022,234.5033264,246.8333282,233.8266602,236.0866699,236.0866699,101107500,TSLA
23-06-2022,237.906662,239.3166656,228.636673,235.0700073,235.0700073,104202600,TSLA
24-06-2022,237.4700012,246.0666656,236.0866699,245.706665,245.706665,95770800,TSLA
27-06-2022,249.3666687,252.0700073,242.5666656,244.9199982,244.9199982,89178300,TSLA
28-06-2022,244.4833374,249.9700012,232.343338,232.6633301,232.6633301,90391200,TSLA
29-06-2022,230.5,231.1733398,222.2733307,228.4900055,228.4900055,82897200,TSLA
30-06-2022,224.5099945,229.456665,218.863327,224.4733276,224.4733276,94600500,TSLA
01-07-2022,227,230.2299957,222.1199951,227.2633362,227.2633362,74460300,TSLA
05-07-2022,223,233.1466675,216.1666718,233.0666656,233.0666656,84581100,TSLA
06-07-2022,230.7799988,234.5633392,227.1866608,231.7333374,231.7333374,71853600,TSLA
07-07-2022,233.9199982,245.363327,232.2100067,244.543335,244.543335,81930600,TSLA
08-07-2022,242.3333282,254.9799957,241.1600037,250.7633362,250.7633362,101854200,TSLA
11-07-2022,252.1033325,253.0633392,233.6266632,234.343338,234.343338,99241200,TSLA
12-07-2022,236.8466644,239.7733307,228.3699951,233.0700073,233.0700073,87930900,TSLA
13-07-2022,225.5,242.0599976,225.0333405,237.0399933,237.0399933,97954500,TSLA
14-07-2022,234.8966675,238.6533356,229.3333282,238.3133392,238.3133392,78557400,TSLA
15-07-2022,240,243.6233368,236.8899994,240.0666656,240.0666656,69683100,TSLA
18-07-2022,244.9366608,250.5166626,239.6033325,240.5466614,240.5466614,82537500,TSLA
19-07-2022,245,247.1399994,236.9766693,245.5299988,245.5299988,80890200,TSLA
20-07-2022,246.7833405,250.6633301,243.4833374,247.5,247.5,88864200,TSLA
21-07-2022,255.1066742,273.2666626,254.8666687,271.706665,271.706665,142032300,TSLA
22-07-2022,276.2200012,280.7866821,270.7133179,272.2433472,272.2433472,103472700,TSLA
25-07-2022,272.2166748,274.1466675,267.3999939,268.4333191,268.4333191,64073400,TSLA
26-07-2022,266.5133362,267.3099976,256.2633362,258.8599854,258.8599854,66820800,TSLA
27-07-2022,263.8099976,275.9266663,261.7900085,274.8200073,274.8200073,88110000,TSLA
28-07-2022,280.0666809,283.2999878,272.7999878,280.8999939,280.8999939,84723000,TSLA
29-07-2022,280.7000122,298.3200073,279.1000061,297.1499939,297.1499939,95313000,TSLA
01-08-2022,301.2766724,311.8766785,295,297.2766724,297.2766724,117042900,TSLA
02-08-2022,294.0033264,307.8333435,292.6666565,300.5866699,300.5866699,95577600,TSLA
03-08-2022,305,309.5499878,301.1499939,307.3966675,307.3966675,80091000,TSLA
04-08-2022,311,313.6066589,305,308.6333313,308.6333313,72256200,TSLA
05-08-2022,302.6700134,304.6066589,285.543335,288.1700134,288.1700134,113172900,TSLA
08-08-2022,295,305.2000122,289.0866699,290.4233398,290.4233398,98994000,TSLA
09-08-2022,290.293335,292.3966675,279.3533325,283.3333435,283.3333435,86244600,TSLA
10-08-2022,297.0666809,297.5100098,283.3699951,294.3566589,294.3566589,94918800,TSLA
11-08-2022,296.5133362,298.2366638,285.8333435,286.6300049,286.6300049,70155000,TSLA
12-08-2022,289.4166565,300.1600037,285.0333252,300.0299988,300.0299988,79657200,TSLA
15-08-2022,301.7866821,313.1333313,301.230011,309.3200073,309.3200073,89359200,TSLA
16-08-2022,311.6666565,314.6666565,302.8833313,306.563324,306.563324,88136400,TSLA
17-08-2022,303.3966675,309.6566772,300.0333252,303.9966736,303.9966736,68766000,TSLA
18-08-2022,306,306.5,301.8533325,302.8699951,302.8699951,47500500,TSLA
19-08-2022,299,300.3599854,292.5,296.6666565,296.6666565,61395300,TSLA
22-08-2022,291.9133301,292.3999939,286.2966614,289.9133301,289.9133301,55843200,TSLA
23-08-2022,291.4533386,298.8266602,287.9233398,296.4533386,296.4533386,63984900,TSLA
24-08-2022,297.563324,303.6466675,296.5,297.0966797,297.0966797,57259800,TSLA
25-08-2022,302.3599854,302.9599915,291.6000061,296.0700073,296.0700073,53230000,TSLA
26-08-2022,297.4299927,302,287.4700012,288.0899963,288.0899963,57163900,TSLA
29-08-2022,282.8299866,287.7399902,280.7000122,284.8200073,284.8200073,41864700,TSLA
30-08-2022,287.8699951,288.480011,272.6499939,277.7000122,277.7000122,50541800,TSLA
31-08-2022,280.6199951,281.25,271.8099976,275.6099854,275.6099854,52107300,TSLA
01-09-2022,272.5799866,277.5799866,266.1499939,277.1600037,277.1600037,54287000,TSLA
02-09-2022,281.0700073,282.3500061,269.0799866,270.2099915,270.2099915,50890100,TSLA
06-09-2022,272.6799927,275.9899902,265.7399902,274.4200134,274.4200134,55860000,TSLA
07-09-2022,273.1000061,283.8399963,272.269989,283.7000122,283.7000122,50028900,TSLA
08-09-2022,281.2999878,289.5,279.7600098,289.2600098,289.2600098,53713100,TSLA
09-09-2022,291.6700134,299.8500061,291.25,299.6799927,299.6799927,54338100,TSLA
12-09-2022,300.7200012,305.4899902,300.3999939,304.4200134,304.4200134,48674600,TSLA
13-09-2022,292.8999939,297.3999939,290.3999939,292.1300049,292.1300049,68229600,TSLA
14-09-2022,292.2399902,306,291.6400146,302.6099854,302.6099854,72628700,TSLA
15-09-2022,301.8299866,309.1199951,300.7200012,303.75,303.75,64795500,TSLA
16-09-2022,299.6099854,303.7099915,295.6000061,303.3500061,303.3500061,87087800,TSLA
19-09-2022,300.0899963,309.8399963,297.7999878,309.0700073,309.0700073,60231200,TSLA
20-09-2022,306.9100037,313.3299866,305.5799866,308.730011,308.730011,61642800,TSLA
